item_id,order_id,product_id,quantity,unit_price,discount_percent
194,24,242,4,3703.37,9
195,477,492,-3,8589.1,35
196,115,165,7,2557.81,20
197,423,40,5,5758.21,7
198,345,462,9,621.45,14
199,24,489,9,4069.16,29
200,397,433,5,3175.91,5
201,234,5,9,3752.3,18
202,402,156,10,7421.8,15
203,189,303,8,9721.39,12
204,390,408,9,2526.76,0
205,13,120,7,5461.3,40
206,487,172,1,114.47,24
207,54,106,5,5345.16,15
208,252,493,7,692.96,9
209,48,23,5,9220.62,33
210,359,459,7,3787.67,5
211,49,259,10,1421.79,25
212,304,291,2,716.6,8
213,150,134,4,8524.05,25
214,163,232,6,2792.36,4
215,70,400,4,7724.45,6
216,55,85,3,4550.71,20
217,62,275,7,3647.05,13
218,158,238,8,2723.58,7
219,81,414,2,6891.94,38
220,111,428,1,8580.08,9
221,365,128,2,9687.16,25
222,26,347,9,3058.52,11
223,488,208,1,8560.55,35
224,128,49,9,4674.23,8
225,7,32,2,8320.69,14
226,102,422,3,4065.76,40
227,299,301,2,2662.32,4
228,34,102,1,9034.71,28
229,48,464,3,8488.03,21
230,22,483,2,4663.85,10
231,222,421,10,7271.87,31
232,196,350,1,4323.97,22
233,466,96,4,2822.32,28
234,18,315,3,6229.85,15
235,256,211,5,8839.51,30
236,45,144,1,3891.85,26
237,330,453,4,7992.26,15
238,407,10,9,9895.1,22
239,279,401,8,4898.33,36
240,165,199,9,2777.31,1
241,306,113,6,390.1,17
242,415,242,1,5341.38,37
243,499,82,4,1091.33,15
244,274,418,5,7933.25,3
245,295,434,4,9828.38,24
246,479,430,6,9916.27,11
247,122,304,3,3248.24,22
248,15,361,10,7035.55,36
249,73,289,10,9488.85,31
250,159,90,9,4955.32,5
251,120,309,1,2266.21,33
252,1,170,8,9187.17,12
253,175,368,3,1856.85,20
254,12,76,1,5907.43,9
255,434,270,2,8620.63,4
256,361,483,6,6655.18,37
257,173,155,2,3293.77,10
258,406,328,7,9610.55,20
259,363,496,3,5663.58,39
260,115,341,6,5930.61,11
261,158,376,7,6916.13,8
262,374,1,3,9493.0,36
263,436,395,7,9655.32,2
264,309,163,3,9218.28,39
265,328,290,4,1130.69,31
266,170,382,3,870.29,22
267,86,326,6,8864.67,5
268,229,6,6,2725.6,15
269,180,132,2,7891.5,0
270,198,225,1,7352.59,10
271,253,452,7,3849.25,34
272,52,425,7,4846.94,36
273,84,232,4,829.72,2
274,11,164,5,2685.16,6
275,176,88,2,8890.52,10
276,281,483,2,8991.43,5
277,305,315,6,8942.94,1
278,483,335,7,1733.47,27
279,28,52,3,3377.84,12
280,357,284,7,7248.18,34
281,339,145,5,3044.27,6
282,202,293,1,5541.66,31
283,28,185,3,137.77,5
284,422,339,5,6288.4,30
285,50,14,4,2148.83,40
286,42,243,5,8453.31,19
287,242,251,7,8959.29,16
288,329,279,2,3936.52,23
289,190,96,7,4513.18,16
290,239,135,8,2339.8,17
291,32,78,10,7547.13,6
292,343,177,2,8100.98,26
293,117,284,10,703.74,24
294,215,495,9,5401.59,30
295,452,121,10,4815.0,5
296,463,438,7,7171.63,32
297,462,265,10,8024.46,39
298,62,487,3,7596.17,11
299,498,109,3,8103.76,8
300,217,41,1,9883.97,27
301,422,322,4,1563.99,38
302,164,467,5,7298.32,4
303,199,285,2,4033.81,20
304,267,235,5,9179.9,0
305,301,268,10,7838.69,7
306,77,76,7,5709.28,37
307,474,55,2,5670.57,6
308,445,275,5,8813.34,26
309,197,336,5,4907.29,38
310,20,89,8,2826.6,9
311,312,349,10,6967.25,2
312,456,451,7,3381.79,15
313,382,244,1,9216.27,23
314,173,419,1,7957.16,19
315,432,252,5,8596.52,6
316,69,154,4,9744.77,28
317,138,374,6,4226.05,5
318,227,109,4,9142.98,26
319,389,265,8,8685.17,3
320,406,82,9,749.61,32
321,70,400,7,8527.82,36
322,89,99,1,8764.29,12
323,128,17,1,4618.84,23
324,141,189,4,8252.71,32
325,326,473,7,1326.34,1
326,191,251,4,5981.03,11
327,301,283,8,3562.62,10
328,384,426,5,6919.62,18
329,198,26,1,1712.78,36
330,439,114,4,6509.06,13
331,334,210,5,5181.48,0
332,467,68,8,6508.98,38
333,115,130,1,6122.6,19
334,217,459,5,3827.11,22
335,130,112,8,4720.31,33
336,204,300,10,1112.89,32
337,288,332,6,5978.35,18
338,351,56,5,4869.21,21
339,328,167,5,8628.77,16
340,97,77,5,5221.21,15
341,413,439,1,8043.4,38
342,339,164,7,6839.48,1
343,152,133,8,9078.42,25
344,378,19,7,5871.93,36
345,176,372,4,7162.36,34
346,465,482,8,6751.5,32
347,433,88,5,8422.32,35
348,151,50,3,4760.73,16
349,391,468,9,1912.38,21
350,114,182,2,2310.95,19
351,404,455,7,3380.04,16
352,151,238,10,8527.02,30
353,444,325,1,5877.39,39
354,242,456,2,2025.98,7
355,272,153,7,4189.76,9
356,103,176,3,4151.0,36
357,74,162,8,8637.7,11
358,250,171,2,6347.22,11
359,325,30,6,146.66,17
360,390,397,4,1769.2,10
361,403,391,8,7819.55,8
362,223,325,-10,4351.16,27
363,197,3,8,473.48,12
364,487,8,6,8930.86,33
365,10,347,4,140.83,15
366,356,450,4,3509.06,8
367,197,258,2,5927.84,10
368,422,24,2,3052.2,18
369,373,267,8,6004.06,21
370,455,352,7,9955.18,21
371,184,385,8,1965.42,25
372,117,115,-1,7298.97,8
373,376,12,4,5937.96,10
374,188,365,2,6540.35,2
375,449,328,-7,2632.31,34
376,25,305,10,9947.33,6
377,25,354,1,1246.32,28
378,64,281,-7,2602.11,9
379,356,352,4,6340.08,19
380,339,52,7,6658.58,17
381,311,359,10,1457.92,6
382,369,317,9,1265.57,7
383,255,102,2,6129.12,16
384,499,104,9,3643.43,26
385,83,21,5,5526.57,13
386,170,121,8,127.11,5
387,428,294,2,6723.32,9
388,400,262,2,842.98,6
389,330,119,5,4621.84,18
390,238,26,5,1088.11,11
391,437,149,1,3666.13,20
392,379,60,7,1040.48,2
393,437,71,1,6667.21,10
394,184,458,6,4433.37,39
395,450,376,-5,1020.22,21
396,59,206,3,4062.48,29
397,428,198,5,6930.03,30
398,333,454,7,7989.4,7
399,357,372,3,680.6,10
400,214,467,2,5948.43,36
401,93,313,8,3859.53,22
402,15,442,10,6876.19,8
403,472,250,8,1218.08,26
404,24,33,8,2689.97,20
405,361,445,1,6811.5,36
406,115,501,10,9562.04,21
407,268,353,-9,7035.74,6
408,339,373,7,2560.91,22
409,77,430,7,8281.73,39
410,6,330,1,9350.28,32
411,437,254,8,8707.21,4
412,165,124,8,3375.86,17
413,260,115,1,5549.91,24
414,419,121,7,880.42,28
415,230,46,10,8580.23,28
416,61,503,6,5024.0,1
417,207,212,2,454.74,35
418,423,47,1,7938.65,39
419,456,261,5,5667.09,29
420,187,423,6,637.32,14
421,170,287,8,7697.42,38
422,367,337,8,3696.62,28
423,50,389,2,6623.21,0
424,182,425,6,6373.25,18
425,268,192,9,7050.75,2
426,253,72,3,8236.2,26
427,131,313,2,2039.62,7
428,111,235,7,8263.09,12
429,56,388,6,4203.26,40
430,64,396,10,8928.37,29
431,490,259,10,1432.9,31
432,272,377,1,580.86,27
433,248,474,10,5132.5,11
434,89,375,10,8170.92,6
435,337,308,7,6100.99,20
436,452,197,9,4244.78,38
437,141,204,4,9639.58,18
438,413,69,8,1467.98,38
439,154,432,9,7044.79,20
440,324,112,9,2088.8,39
441,352,177,5,9219.8,8
442,258,278,3,6973.69,20
443,390,181,2,5666.57,37
444,483,342,10,7130.22,34
445,450,434,5,4281.63,0
446,55,13,9,3870.62,3
447,103,137,1,7526.83,10
448,350,129,5,1549.64,3
449,105,386,5,5457.6,22
450,53,316,8,8693.55,35
451,381,332,-4,5656.58,15
452,402,408,9,8008.34,18
453,475,196,1,3936.79,20
454,28,7,9,7462.33,12
455,445,400,10,8618.4,28
456,467,325,4,7075.83,23
457,280,379,10,6073.53,12
458,230,91,5,9836.19,4
459,493,89,3,7377.29,7
460,21,220,7,2863.21,16
461,83,300,3,8475.54,0
462,239,364,6,9381.2,2
463,476,166,3,6009.12,40
464,432,339,10,3081.43,36
465,184,38,9,7861.91,20
466,113,490,9,1920.3,4
467,82,213,9,5476.49,25
468,179,114,2,8845.63,21
469,185,151,6,2262.61,39
470,244,288,9,8254.52,0
471,343,178,2,4512.11,39
472,125,491,10,494.78,20
473,469,408,7,9455.38,24
474,277,371,5,2900.01,33
475,264,412,6,5136.48,31
476,152,460,1,6550.13,20
477,43,486,9,1049.97,34
478,4,321,9,748.17,40
479,443,351,4,4299.67,6
480,276,425,4,7057.15,27
481,383,352,2,1622.17,29
482,20,45,6,825.16,11
483,286,37,5,5792.13,14
484,209,199,5,4566.14,25
485,162,9,7,3956.07,7
486,4,329,9,7230.83,4
487,24,359,10,8497.69,22
488,55,149,9,7890.23,19
489,45,145,10,7676.21,28
490,203,421,7,6641.16,30
491,274,113,3,1450.18,25
492,152,492,9,6377.05,19
493,491,487,6,210.39,35
494,64,22,3,149.8,38
495,276,281,7,9475.1,19
496,384,380,4,9045.11,22
497,212,464,4,6494.72,32
498,83,95,3,2285.8,16
499,59,93,4,6742.68,36
500,436,385,1,9330.46,35
